id,vote,name,party, 28, 29, 30, 37, 45, 79, 80, 92, 94, 96, 106, 110, 116, 121, 155, 164, 165, 180, 181,Unnamed: 24
79,1,Not Voting,"Rep. Louie Gohmert [R, 2005-2022]",Republican,,,,,,,,,,,,,,,,,,,
80,9,Nay,"Rep. Al Green [D, 2005-2024]",Democrat,,,,,,,,,,,,,,,,,,,
81,10,Yea,"Rep. Michael McCaul [R, 2005-2024]",Republican,,,,,,,,,,,,,,,,,,,
82,28,Nay,"Rep. Henry Cuellar [D, 2005-2024]",Democrat,,,,,,,,,,,,,,,,,,,
83,5,Yea,"Rep. Cathy Anne McMorris Rodgers [R, 2005-2024]",Republican,,,,,,,,,,,,,,,,,,,
84,4,Nay,"Rep. Gwen Moore [D, 2005-2024]",Democrat,,,,,,,,,,,,,,,,,,,
85,6,Nay,"Rep. Doris Matsui [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,
86,7,Nay,"Rep. Kweisi Mfume [D, 2020-2024]",Democrat,,,,,,,,,,,,,,,,,,,
87,8,Nay,"Rep. Albio Sires [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,
88,9,Nay,"Rep. Jerry McNerney [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,
89,23,Yea,"Rep. Kevin McCarthy [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,
90,5,Yea,"Rep. Doug Lamborn [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,,,,
91,7,Nay,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat,,,,,,,,,,,,,,,,,,,
92,2,Nay,"Rep. Joe Courtney [D, 2007-2024]",Democrat,,,,,,,,,,,,,,,,,,,
93,14,Nay,"Rep. Kathy Castor [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,
94,16,Yea,"Rep. Vern Buchanan [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,
95,4,Nay,"Rep. Henry C. “Hank” Johnson [D, 2007-2024]",Democrat,,,,,,,,,,,,,,,,,,,
96,3,Nay,"Rep. John Yarmuth [D, 2007-2022]",Democrat,,,,,,,,,,,,,,,,,,,
97,3,Nay,"Rep. John Sarbanes [D, 2007-2024]",Democrat,,,,,,,,,,,,,,,,,,,
98,7,Yea,"Rep. Tim Walberg [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,
99,3,Yea,"Rep. Adrian Smith [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,,,,
100,9,Nay,"Rep. Yvette Clarke [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,
101,4,Yea,"Rep. Jim Jordan [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,,,,
102,9,Nay,"Rep. Steve Cohen [D, 2007-2024]",Democrat,,,,,,,,,,,,,,,,,,,
103,0,Nay,"Rep. Peter Welch [D, 2007-2022]",Democrat,,,,,,,,,,,,,,,,,,,
104,12,Yea,"Rep. Gus Bilirakis [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,
105,1,Yea,"Rep. Robert Wittman [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,,,,
106,5,Yea,"Rep. Robert Latta [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,,,,
107,11,Nay,"Rep. Bill Foster [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,
108,7,Nay,"Rep. André Carson [D, 2008-2024]",Democrat,,,,,,,,,,,,,,,,,,,
109,14,Nay,"Rep. Jackie Speier [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,
110,1,Yea,"Rep. Steve Scalise [R, 2008-2024]",Republican,,,,,,,,,,,,,,,,,,,
111,11,Nay,"Rep. Gerald Connolly [D, 2009-2024]",Democrat,,,,,,,,,,,,,,,,,,,
112,2,Yea,"Rep. Brett Guthrie [R, 2009-2024]",Republican,,,,,,,,,,,,,,,,,,,
113,4,Nay,"Rep. James “Jim” Himes [D, 2009-2024]",Democrat,,,,,,,,,,,,,,,,,,,
114,2,Nay,"Rep. Ann Kirkpatrick [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,,,,
115,3,Yea,"Rep. Blaine Luetkemeyer [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,
116,4,Yea,"Rep. Tom McClintock [R, 2009-2022]",Republican,,,,,,,,,,,,,,,,,,,
117,1,Nay,"Rep. Chellie Pingree [D, 2009-2024]",Democrat,,,,,,,,,,,,,,,,,,,
118,8,Yea,"Rep. Bill Posey [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,
