id,vote,name,party, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, and 28.
190,1,Aye,"Rep. Suzanne Bonamici [D, 2012-2024]",Democrat,,,,,,,,,,,,,,
191,4,No,"Rep. Thomas Massie [R, 2012-2024]",Republican,,,,,,,,,,,,,,
192,1,Aye,"Rep. Suzan DelBene [D, 2012-2024]",Democrat,,,,,,,,,,,,,,
193,10,Aye,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat,,,,,,,,,,,,,,
194,1,No,"Rep. Doug LaMalfa [R, 2013-2024]",Republican,,,,,,,,,,,,,,
195,2,Aye,"Rep. Jared Huffman [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
196,7,Aye,"Rep. Ami Bera [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
197,8,No,"Rep. Paul Cook [R, 2013-2020]",Republican,,,,,,,,,,,,,,
198,15,Aye,"Rep. Eric Swalwell [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
199,26,Aye,"Rep. Julia Brownley [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
200,29,Aye,"Rep. Tony Cárdenas [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
201,36,Aye,"Rep. Raul Ruiz [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
202,41,Aye,"Rep. Mark Takano [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
203,47,Aye,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
204,51,Aye,"Rep. Juan Vargas [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
205,52,Aye,"Rep. Scott Peters [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
206,3,No,"Rep. Ted Yoho [R, 2013-2020]",Republican,,,,,,,,,,,,,,
207,21,Aye,"Rep. Lois Frankel [D, 2017-2022]",Democrat,,,,,,,,,,,,,,
208,9,No,"Rep. Doug Collins [R, 2013-2020]",Republican,,,,,,,,,,,,,,
209,2,Not Voting,"Rep. Tulsi Gabbard [D, 2013-2020]",Democrat,,,,,,,,,,,,,,
210,10,Aye,"Rep. Bradley “Brad” Schneider [D, 2017-2024]",Democrat,,,,,,,,,,,,,,
211,13,No,"Rep. Rodney Davis [R, 2013-2022]",Republican,,,,,,,,,,,,,,
212,17,Aye,"Rep. Cheri Bustos [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
213,2,No,"Rep. Jackie Walorski [R, 2013-2022]",Republican,,,,,,,,,,,,,,
214,5,No,"Rep. Susan Brooks [R, 2013-2020]",Republican,,,,,,,,,,,,,,
215,6,No,"Rep. Garland “Andy” Barr [R, 2013-2024]",Republican,,,,,,,,,,,,,,
216,4,Aye,"Rep. Joseph P. Kennedy [D, 2013-2020]",Democrat,,,,,,,,,,,,,,
217,5,Aye,"Rep. Daniel Kildee [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
218,2,No,"Rep. Ann Wagner [R, 2013-2024]",Republican,,,,,,,,,,,,,,
219,8,No,"Rep. Richard Hudson [R, 2013-2022]",Republican,,,,,,,,,,,,,,
220,11,No,"Rep. Mark Meadows [R, 2013-2020]",Republican,,,,,,,,,,,,,,
221,2,No,"Rep. George Holding [R, 2017-2020]",Republican,,,,,,,,,,,,,,
222,2,Aye,"Rep. Ann Kuster [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
223,4,Aye,"Rep. Steven Horsford [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
224,6,Aye,"Rep. Grace Meng [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
225,8,Aye,"Rep. Hakeem Jeffries [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
226,18,Aye,"Rep. Sean Maloney [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
227,2,No,"Rep. Brad Wenstrup [R, 2013-2024]",Republican,,,,,,,,,,,,,,
228,3,Aye,"Rep. Joyce Beatty [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
229,14,Aye,"Rep. David Joyce [R, 2013-2024]",Republican,,,,,,,,,,,,,,
230,2,No,"Rep. Markwayne Mullin [R, 2013-2022]",Republican,,,,,,,,,,,,,,
231,10,Not Voting,"Rep. Scott Perry [R, 2019-2024]",Republican,,,,,,,,,,,,,,
232,8,Aye,"Rep. Matthew “Matt” Cartwright [D, 2019-2024]",Democrat,,,,,,,,,,,,,,
233,7,No,"Rep. Tom Rice [R, 2013-2022]",Republican,,,,,,,,,,,,,,
234,14,No,"Rep. Randy Weber [R, 2013-2024]",Republican,,,,,,,,,,,,,,
235,20,Aye,"Rep. Joaquin Castro [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
236,25,No,"Rep. Roger Williams [R, 2013-2024]",Republican,,,,,,,,,,,,,,
237,33,Aye,"Rep. Marc Veasey [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
238,34,Aye,"Rep. Filemon Vela [D, 2013-2022]",Democrat,,,,,,,,,,,,,,
239,2,No,"Rep. Chris Stewart [R, 2013-2023]",Republican,,,,,,,,,,,,,,
240,6,Aye,"Rep. Derek Kilmer [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
241,10,Aye,"Rep. Denny Heck [D, 2013-2020]",Democrat,,,,,,,,,,,,,,
242,2,Aye,"Rep. Mark Pocan [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
243,2,Aye,"Rep. Robin Kelly [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
244,8,No,"Rep. Jason Smith [R, 2013-2024]",Republican,,,,,,,,,,,,,,
245,5,Aye,"Rep. Katherine Clark [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
246,1,No,"Rep. Bradley Byrne [R, 2014-2020]",Republican,,,,,,,,,,,,,,
247,1,Aye,"Rep. Donald Norcross [D, 2014-2024]",Democrat,,,,,,,,,,,,,,
248,12,Aye,"Rep. Alma Adams [D, 2014-2024]",Democrat,,,,,,,,,,,,,,
249,6,No,"Rep. Gary Palmer [R, 2015-2024]",Republican,,,,,,,,,,,,,,
250,2,No,"Rep. French Hill [R, 2015-2024]",Republican,,,,,,,,,,,,,,
251,4,No,"Rep. Bruce Westerman [R, 2015-2024]",Republican,,,,,,,,,,,,,,
252,7,Aye,"Rep. Ruben Gallego [D, 2015-2022]",Democrat,,,,,,,,,,,,,,
253,11,Aye,"Rep. Mark DeSaulnier [D, 2015-2022]",Democrat,,,,,,,,,,,,,,
254,31,Aye,"Rep. Pete Aguilar [D, 2015-2022]",Democrat,,,,,,,,,,,,,,
255,33,Not Voting,"Rep. Ted Lieu [D, 2015-2022]",Democrat,,,,,,,,,,,,,,
256,35,Aye,"Rep. Norma Torres [D, 2015-2024]",Democrat,,,,,,,,,,,,,,
257,4,No,"Rep. Ken Buck [R, 2015-2024]",Republican,,,,,,,,,,,,,,
258,1,No,"Rep. Earl “Buddy” Carter [R, 2015-2024]",Republican,,,,,,,,,,,,,,
259,10,No,"Rep. Jody Hice [R, 2015-2022]",Republican,,,,,,,,,,,,,,
260,11,No,"Rep. Barry Loudermilk [R, 2015-2024]",Republican,,,,,,,,,,,,,,
261,12,No,"Rep. Rick Allen [R, 2015-2024]",Republican,,,,,,,,,,,,,,
262,12,No,"Rep. Mike Bost [R, 2015-2024]",Republican,,,,,,,,,,,,,,
263,5,No,"Rep. Ralph Abraham [R, 2015-2020]",Republican,,,,,,,,,,,,,,
264,6,Aye,"Rep. Garret Graves [R, 2015-2024]",Republican,,,,,,,,,,,,,,
265,6,Aye,"Rep. Seth Moulton [D, 2015-2024]",Democrat,,,,,,,,,,,,,,
266,4,Aye,"Rep. John Moolenaar [R, 2015-2022]",Republican,,,,,,,,,,,,,,
267,12,Aye,"Rep. Debbie Dingell [D, 2015-2022]",Democrat,,,,,,,,,,,,,,
268,14,Not Voting,"Rep. Brenda Lawrence [D, 2015-2022]",Democrat,,,,,,,,,,,,,,
269,6,No,"Rep. Tom Emmer [R, 2015-2024]",Republican,,,,,,,,,,,,,,
270,7,Not Voting,"Rep. David Rouzer [R, 2015-2024]",Republican,,,,,,,,,,,,,,
271,12,Aye,"Rep. Bonnie Watson Coleman [D, 2015-2024]",Democrat,,,,,,,,,,,,,,
272,1,No,"Rep. Lee Zeldin [R, 2015-2022]",Republican,,,,,,,,,,,,,,
273,4,Aye,"Rep. Kathleen Rice [D, 2015-2022]",Democrat,,,,,,,,,,,,,,
274,21,Aye,"Rep. Elise Stefanik [R, 2015-2024]",Republican,,,,,,,,,,,,,,
