id,vote,name,party, Food and Drug Administration, Interior, Environment, Military ...
337,34,No,"Rep. Jimmy Gomez [D, 2017-2024]",Democrat,,,
338,3,Aye,"Rep. John Curtis [R, 2017-2024]",Republican,,,
339,17,No,"Rep. Conor Lamb [D, 2019-2022]",Democrat,,,
340,8,Aye,"Rep. Debbie Lesko [R, 2018-2024]",Republican,,,
341,27,Aye,"Rep. Michael Cloud [R, 2018-2024]",Republican,,,
342,12,Aye,"Rep. Troy Balderson [R, 2018-2024]",Republican,,,
343,1,Aye,"Rep. Kevin Hern [R, 2018-2024]",Republican,,,
344,25,No,"Rep. Joseph Morelle [D, 2018-2024]",Democrat,,,
345,5,No,"Rep. Mary Gay Scanlon [D, 2019-2024]",Democrat,,,
346,7,No,"Rep. Susan Wild [D, 2019-2024]",Democrat,,,
347,9,No,"Rep. Greg Stanton [D, 2019-2022]",Democrat,,,
348,10,No,"Rep. Josh Harder [D, 2019-2022]",Democrat,,,
349,21,No,"Rep. TJ Cox [D, 2019-2020]",Democrat,,,
350,25,No,"Rep. Katie Hill [D, 2019-2019]",Democrat,,,
351,39,No,"Rep. Gilbert Cisneros [D, 2019-2020]",Democrat,,,
352,45,Aye,"Rep. Katie Porter [D, 2019-2022]",Democrat,,,
353,48,No,"Rep. Harley Rouda [D, 2019-2020]",Democrat,,,
354,49,No,"Rep. Mike Levin [D, 2019-2024]",Democrat,,,
355,2,No,"Rep. Joe Neguse [D, 2019-2024]",Democrat,,,
356,6,No,"Rep. Jason Crow [D, 2019-2024]",Democrat,,,
357,5,No,"Rep. Jahana Hayes [D, 2019-2024]",Democrat,,,
358,6,Aye,"Rep. Michael Waltz [R, 2019-2024]",Republican,,,
359,15,Aye,"Rep. Ross Spano [R, 2019-2020]",Republican,,,
360,17,Aye,"Rep. Gregory Steube [R, 2019-2024]",Republican,,,
